Index,Feature,Importance
184,jml_elec_aff_subs_first_ion_en,0.00026042663
1241,jml_adf1_168,0.00025976074
1269,jml_adf2_17,0.00025950922
489,jml_atom_rad_subs_hfus,0.00025906565
464,jml_hfus_mult_X,0.00025889682
991,jml_rdf_18,0.0002587511
190,jml_atom_rad_subs_polzbl,0.0002585087
1664,jml_nn_54,0.00025816404
68,range_AtomicWeight,0.00025710688
253,jml_atom_rad_mult_X,0.00025692364
1242,jml_adf1_169,0.00025668062
1552,jml_ddf_121,0.0002562642
547,jml_atom_rad_add_voro_coord,0.00025369934
1426,jml_adf2_174,0.0002534928
86,range_GSmagmom,0.00025295734
1423,jml_adf2_171,0.00025264206
1115,jml_adf1_42,0.00025189936
1006,jml_rdf_33,0.00025148652
1038,jml_rdf_65,0.00025047877
221,jml_first_ion_en_mult_mp,0.0002488469
1444,jml_ddf_13,0.0002485954
1023,jml_rdf_50,0.00024776702
1062,jml_rdf_89,0.00024715948
1221,jml_adf1_148,0.0002470504
1680,jml_nn_70,0.00024689673
1382,jml_adf2_130,0.0002460925
1254,jml_adf2_2,0.00024591148
659,jml_mean_charge_64,0.00024588176
432,jml_first_ion_en_add_therm_cond,0.00024469613
150,mode_GSvolume_pa,0.00024372265
876,jml_mean_charge_281,0.00024310415
1675,jml_nn_65,0.00024207275
270,jml_bp_add_atom_mass,0.00024207089
686,jml_mean_charge_91,0.0002419882
228,jml_atom_mass_add_therm_cond,0.00024197005
400,jml_atom_mass_subs_mol_vol,0.0002415025
1445,jml_ddf_14,0.00024137805
472,jml_therm_cond_divi_mol_vol,0.00024124536
771,jml_mean_charge_176,0.0002412166
1335,jml_adf2_83,0.00024046357
1482,jml_ddf_51,0.00024007469
1020,jml_rdf_47,0.00023970428
